Count,Code,Browser,B&W*,Apple,Andr,Twit,Wind,GMail,DCM,KDDI,SB,Name,Version,Default,Annotations
25,U+1F644,🙄,,missing,missing,missing,missing,missing,missing,missing,missing,face with rolling eyes,V8.0ˣ,emoji,"eyes, face, person, rolling"
26,U+1F60F,😏,,,,,,,,,,smirking face,V6.0ʲ,emoji,"face, person, smirk"
27,U+1F623,😣,,,,,,,,,,persevering face,V6.0ʲ,emoji,"face, persevere, person"
28,U+1F625,😥,,,,,,,missing,missing,,disappointed but relieved face,V6.0ʲ,emoji,"disappointed, face, person, relieved, whew"
29,U+1F62E,😮,,,,,,missing,missing,missing,missing,face with open mouth,V6.1ˣ,emoji,"face, mouth, open, person, sympathy"
30,U+1F910,🤐,,missing,missing,missing,missing,missing,missing,missing,missing,zipper-mouth face,V8.0ˣ,emoji,"face, mouth, person, zipper"
31,U+1F62F,😯,,,,,,missing,missing,missing,missing,hushed face,V6.1ˣ,emoji,"face, hushed, person, stunned, surprised"
32,U+1F62A,😪,,,,,,,missing,,,sleepy face,V6.0ʲ,emoji,"face, person, sleep"
33,U+1F62B,😫,,,,,,,missing,,missing,tired face,V6.0ʲ,emoji,"face, person, tired"
34,U+1F634,😴,,,,,,missing,missing,missing,missing,sleeping face,V6.1ˣ,emoji,"face, person, sleep"
35,U+1F60C,😌,,,,,,,,,,relieved face,V6.0ʲ,emoji,"face, person, relieved"
36,U+1F913,🤓,,missing,missing,missing,missing,missing,missing,missing,missing,nerd face,V8.0ˣ,emoji,"face, geek, nerd, person"
37,U+1F61B,😛,,,,,,missing,missing,missing,missing,face with stuck-out tongue,V6.1ˣ,emoji,"face, person, tongue"
38,U+1F61C,😜,,,,,,,,,,face with stuck-out tongue and winking eye,V6.0ʲ,emoji,"eye, face, joke, person, tongue, wink"
39,U+1F61D,😝,,,,,,,missing,missing,,face with stuck-out tongue and tightly-closed eyes,V6.0ʲ,emoji,"eye, face, horrible, person, taste, tongue"
40,U+2639,☹,,missing,missing,missing,,missing,missing,missing,missing,white frowning face,V1.1ʷ,text,"face, frown, person"
41,U+1F641,🙁,,new 7.0,new 7.0,new 7.0,,new 7.0,new 7.0,new 7.0,new 7.0,slightly frowning face,V7.0ˣ,emoji,"face, frown, person"
42,U+1F612,😒,,,,,,,,,,unamused face,V6.0ʲ,emoji,"face, person, unamused, unhappy"
43,U+1F613,😓,,,,,,,,,,face with cold sweat,V6.0ʲ,emoji,"cold, face, person, sweat"
44,U+1F614,😔,,,,,,,,,,pensive face,V6.0ʲ,emoji,"dejected, face, pensive, person"
45,U+1F615,😕,,,,,,,missing,missing,missing,confused face,V6.1ˣ,emoji,"confused, face, person"
46,U+1F616,😖,,,,,,,,,,confounded face,V6.0ʲ,emoji,"confounded, face, person"
47,U+1F643,🙃,,missing,missing,missing,missing,missing,missing,missing,missing,upside-down face,V8.0ˣ,emoji,"face, person, upside-down"
48,U+1F637,😷,,,,,,,missing,,,face with medical mask,V6.0ʲ,emoji,"cold, doctor, face, mask, medicine, person, sick"
49,U+1F912,🤒,,missing,missing,missing,missing,missing,missing,missing,missing,face with thermometer,V8.0ˣ,emoji,"face, ill, person, sick, thermometer"
50,U+1F915,🤕,,missing,missing,missing,missing,missing,missing,missing,missing,face with head-bandage,V8.0ˣ,emoji,"bandage, face, hurt, injury, person"
51,U+1F911,🤑,,missing,missing,missing,missing,missing,missing,missing,missing,money-mouth face,V8.0ˣ,emoji,"face, money, mouth, person"
52,U+1F632,😲,,,,,,,missing,,,astonished face,V6.0ʲ,emoji,"astonished, face, person, shocked, totally"
53,U+1F61E,😞,,,,,,,,missing,,disappointed face,V6.0ʲ,emoji,"disappointed, face, person"
54,U+1F61F,😟,,,,,,,missing,missing,missing,worried face,V6.1ˣ,emoji,"face, person, worried"
55,U+1F624,😤,,,,,,,missing,,missing,face with look of triumph,V6.0ʲ,emoji,"face, person, triumph, won"
56,U+1F622,😢,,,,,,,,,,crying face,V6.0ʲ,emoji,"cry, face, person, sad, tear"
57,U+1F62D,😭,,,,,,,,,,loudly crying face,V6.0ʲ,emoji,"cry, face, person, sad, sob, tear"
58,U+1F626,😦,,,,,,missing,missing,missing,missing,frowning face with open mouth,V6.1ˣ,emoji,"face, frown, mouth, open, person"
59,U+1F627,😧,,,,,,missing,missing,missing,missing,anguished face,V6.1ˣ,emoji,"anguished, face, person"
60,U+1F628,😨,,,,,,,missing,,,fearful face,V6.0ʲ,emoji,"face, fear, fearful, person, scared"
61,U+1F629,😩,,,,,,,missing,,missing,weary face,V6.0ʲ,emoji,"face, person, tired, weary"
62,U+1F62C,😬,,,,,,missing,missing,missing,missing,grimacing face,V6.1ˣ,emoji,"face, grimace, person"
63,U+1F630,😰,,,,,,,missing,,,face with open mouth and cold sweat,V6.0ʲ,emoji,"blue, cold, face, mouth, open, person, rushed, sweat"
64,U+1F631,😱,,,,,,,,,,face screaming in fear,V6.0ʲ,emoji,"face, fear, fearful, munch, person, scared, scream"
65,U+1F633,😳,,,,,,,missing,,,flushed face,V6.0ʲ,emoji,"dazed, face, flushed, person"
66,U+1F635,😵,,,,,,,,,missing,dizzy face,V6.0ʲ,emoji,"dizzy, face, person"
67,U+1F621,😡,,,,,,,,,,pouting face,V6.0ʲ,emoji,"angry, face, mad, person, pouting, rage, red"
68,U+1F620,😠,,,,,,,,,,angry face,V6.0ʲ,emoji,"angry, face, mad, person"
69,U+1F47F,👿,,,,,,,missing,,,imp,V6.0ʲ,emoji,"devil, face, fairy tale, fantasy, imp, person"
